    main_id    |        ra        |        dec         |     sp_type     |  B  |  V
"* bet Tri"    |32.38594634196055 |34.98729706469149   |"A5III"          |3.14 |3.0
"*  58 And"    |32.121921323591664|37.85908513215612   |"A5IV-V"         |4.94 |4.82
"*  38 Lyn"    |139.7110149130071 |36.80259585675999   |"A1V"            |3.96 |3.92
"* tau02 Hya"  |142.99552477361   |-1.1846713524799999 |"A2V"            |4.644|4.548
"* tet Ant"    |146.05039631875   |-27.769472515277776 |"A7V+G8III"      |5.29 |4.79
"*  21 LMi"    |151.85734320951084|35.244695866788895  |"A7V(n)"         |4.67 |4.49
"* eta Leo"    |151.83313496465667|16.762663324555     |"A0Ib"           |3.39 |3.41
"* alf Sex"    |151.98451569501   |-0.37167036849000007|"A0III"          |4.45 |4.49
"HD  91312"    |158.30787467726   |40.42554634199      |"A7IV"           |4.921|4.715
"* ome UMa"    |163.4947538182    |43.189957506910005  |"A1VsSi:"        |4.633|4.664
"*  54 Leo"    |163.90331907809252|24.749717296514444  |"A1"             |4.34 |4.32
"*  54 Leo A"  |163.90333897648   |24.74972842488      |"A1V"            |4.478|4.477
"* c Leo"      |165.18667509734   |6.1014452203        |"A5III"          |5.133|4.977
"* i Vel"      |165.03860085978206|-42.225858441775834 |"A3V"            |4.5  |4.39
"* del Leo"    |168.52708926588556|20.523718139047475  |"A5IV(n)"        |2.68 |2.53
"* tet Leo"    |168.56002362722833|15.429571086424442  |"A2IV"           |3.33 |3.35
"* bet Crt"    |167.91449465302   |-22.82584804833     |"A1V"            |4.475|4.449
"*  55 UMa"    |169.78285880943   |38.18559331537      |"A2V"            |4.9  |4.8
"* phi Leo"    |169.16541573374084|-3.6516032084566667 |"A5V"            |4.654|4.45
"* gam Crt"    |171.2205150667429 |-17.684011879005833 |"A7V(n)"         |4.25 |4.06
"* ksi Vir"    |176.32099928437708|8.258113804996945   |"A4V"            |5.003|4.842
"* bet Leo"    |177.26490975591017|14.572058064829658  |"A3Va"           |2.22 |2.13
"* pi. Vir"    |180.21829927763372|6.614318553384446   |"A5V"            |4.755|4.642
"* eta Vir"    |184.97642665915   |-0.66679619811      |"A2IV"           |3.92 |3.9
"*  16 Com"    |186.74706789495997|26.825701704039997  |"A4V"            |5.045|4.959
"* del Crv"    |187.46606318416664|-16.515431261666667 |"A0IV(n)kB9"     |2.89 |2.94
"*  23 Com"    |188.71280340925497|22.62920599761361   |"A0mA1IV"        |4.773|4.773
"* rho Vir"    |190.47107061461998|10.2356257137       |"A0Va_lB"        |4.97 |4.88
"* alf02 CVn"  |194.00693995375286|38.31837643625333   |"A0VpSiEu"       |2.76 |2.88
"* n Cen"      |193.35913209457917|-40.17891354020334  |"A4IV"           |4.48 |4.27
"*  20 CVn"    |199.38558813253832|40.572606772960285  |"A9IImF2"        |5.01 |4.698
"* tet Vir"    |197.4874539107    |-5.53900406522      |"A1IVs"          |4.385|4.397
"V* BH CVn"    |203.69920319171   |37.18241439635      |"A6m"            |5.38 |4.98
"*  25 CVn"    |204.3651159046667 |36.29489824539973   |"A7III+A8V:"     |5.05 |4.82
"*  25 CVn A"  |204.36511192      |36.29489794871      |"A7III"          |5.165|4.953
"* o Vir"      |203.53304685229458|3.658969155643611   |"ApEuCrSr"       |4.96 |4.94
"* zet Vir"    |203.67329732802997|-0.59581641612      |"A2Van"          |3.5  |3.38
"* tau Vir"    |210.41163979453543|1.5445306078263885  |"A2IV/V"         |4.331|4.237
"* lam Vir"    |214.77746945512624|-13.371091295024444 |"A1V"            |4.66 |4.52
"* psi Cen"    |215.13930164992001|-37.88529206459917  |"A0IV"           |4.006|4.034
"* eps Boo B"  |221.24645736371372|27.07498558868861   |"A0V"            |4.853|4.801
"* zet Boo"    |220.28729823076685|13.728304629385853  |"A1V"            |3.83 |3.78
"* zet Boo A"  |220.28733409166668|13.72828106111111   |"A3IV"           |4.56 |4.51
"* zet Boo B"  |220.28711599166667|13.72841686111111   |"A2"             |4.59 |4.51
"* 109 Vir"    |221.5621810306004 |1.8928838280086113  |"A0IIInn"        |3.72 |3.73
"* c02 Cen"    |221.24667349661996|-35.19182869601     |"A0IVnn"         |4.927|4.924
"CD-43 12272"  |271.70788799921274|-43.42522122291105  |"A6V+A7V"        |5.17 |4.95
"* iot02 Sco"  |267.54629914228997|-40.09043182076001  |"A2Ib"           |5.039|4.803
"* alf CrA"    |287.3680896456666 |-37.90447440014084  |"A2Va"           |4.146|4.087
"* d Sco"      |244.57457983480714|-28.614019999019167 |"A1Va"           |4.804|4.782
"* zet Sgr"    |285.6530426563352 |-29.88006330096877  |"A2.5Va"         |2.69 |2.59
"* omi Sco"    |245.15905738420497|-24.16930429935139  |"A5II"           |5.4  |4.57
"* ome Oph"    |248.03416825649919|-21.466403368627223 |"ApSrEuCr"       |4.56 |4.45
"* c Oph"      |262.8539744625691 |-23.962643000745558 |"A0V"            |4.81 |4.81
"*   4 Sgr"    |269.94815189825994|-23.81611471274     |"A0"             |4.698|4.724
"* rho01 Sgr"  |290.4181660991359 |-17.847198585185275 |"A9IV"           |4.15 |3.93
"* g Sgr"      |299.4876227432799 |-15.49146815238     |"A2V"            |5.058|4.998
"* eta Oph"    |257.5945287106208 |-15.724906641710527 |"A2IV-V"         |2.47 |2.42
"* eta Oph B"  |257.59432         |-15.725182199999999 |"A3(V)"          |3.36 |3.26
"* eta Oph A"  |257.5944336       |-15.7251428         |"A2(V)"          |2.564|2.463
"* ksi Ser"    |264.39666582704876|-15.398555763609995 |"A9IIIpSr:"      |3.788|3.519
"* gam Sct"    |277.29937738049796|-14.565802914842225 |"A1IV/V"         |4.739|4.675
"* del Lib"    |225.24311792452997|-8.518947335770001  |"A0V"            |4.93 |4.93
"* psi Sco"    |242.99997135053002|-10.06414170962     |"A1V"            |5.029|4.928
"* nu. Ser"    |260.20692403414034|-12.846876066316668 |"A0/1V"          |4.361|4.324
"* omi Ser"    |265.35363634760085|-12.875305267979446 |"A2Va"           |4.31 |4.228
"* mu. Aqr"    |313.1634618649296 |-8.983327394804169  |"A3II"           |5.04 |4.72
"* lam Oph"    |247.72842974605487|1.9839224782032374  |"A1IV"           |3.94 |3.9
"* lam Oph A"  |247.72841177213542|1.9839051346405556  |"A0V"            |4.18 |4.15
"* gam Oph"    |266.9731691245113 |2.7072791218991665  |"A1VnkA0mA0"     |3.8  |3.75
"*  68 Oph"    |270.4383228901304 |1.3050850774647222  |"A0.5Van"        |4.453|4.429
"* tet02 Ser"  |284.06100425853   |4.202127620450001   |"A5Vn"           |5.18 |4.98
"* tet01 Ser"  |284.05494665111996|4.20360613639       |"A5V"            |4.74 |4.57
